Area Name,Last residence,Total migrants Persons,Total migrants Males,Total migrantsFemales,Work/employment Persons,Work/employment Males,Work/employment Females,Business Persons,Business Males,Business Females,Education Persons,Education Males,Education Females,Marriage Persons,Marriage Males,Marriage Females,Moved after birth Persons,Moved after birth Males,Moved after birth Females,Moved with householdPersons,Moved with household Males,Moved with household Females,Others Persons,Others Males,Others Females
bihar,manipur,565,163,402,43,35,8,16,14,2,23,17,6,303,6,297,10,8,2,98,43,55,72,40,32
bihar,mizoram,361,137,224,61,57,4,3,3,0,14,11,3,163,1,162,5,2,3,55,18,37,60,45,15
bihar,tripura,700,257,443,80,77,3,3,2,1,15,12,3,295,5,290,10,7,3,145,56,89,152,98,54
bihar,meghalaya,403,138,265,43,40,3,3,3,0,23,21,2,185,1,184,6,5,1,96,35,61,47,33,14
bihar,assam,139988,13745,126243,2507,1831,676,254,148,106,405,333,72,112613,793,111820,330,172,158,5075,1651,3424,18804,8817,9987
bihar,west bengal,129655,27492,102163,11627,9921,1706,737,554,183,707,543,164,84415,791,83624,1679,1015,664,15670,6564,9106,14820,8104,6716
bihar,jharkhand,340262,54256,286006,24355,19397,4958,987,596,391,3314,2284,1030,238261,2260,236001,2688,1581,1107,32580,12766,19814,38077,15372,22705
bihar,odisha,42955,6036,36919,1620,1417,203,124,82,42,401,348,53,32340,302,32038,201,125,76,2570,948,1622,5699,2814,2885
bihar,chhattisgarh,93113,9632,83481,1257,847,410,131,41,90,246,177,69,72390,615,71775,269,161,108,3102,913,2189,15718,6878,8840
bihar,madhya pradesh,5981,1550,4431,600,511,89,61,47,14,74,53,21,3338,32,3306,72,41,31,967,369,598,869,497,372
bihar,gujarat,68080,7174,60906,1598,1254,344,167,112,55,272,198,74,53247,558,52689,278,151,127,3300,1108,2192,9218,3793,5425
bihar,daman & diu,454,269,185,70,68,2,3,3,0,5,5,0,123,2,121,9,3,6,45,19,26,199,169,30
bihar,dadra & nagar haveli,84,32,52,13,12,1,0,0,0,0,0,0,46,0,46,1,1,0,3,0,3,21,19,2
bihar,maharashtra,39964,5784,34180,1819,1578,241,92,75,17,321,256,65,29913,220,29693,188,99,89,2679,995,1684,4952,2561,2391
bihar,andhra pradesh,18020,1736,16284,725,614,111,56,37,19,135,95,40,14392,113,14279,80,49,31,1153,405,748,1479,423,1056
bihar,karnataka,9580,1775,7805,284,226,58,21,15,6,70,30,40,6319,56,6263,38,21,17,789,321,468,2059,1106,953
bihar,goa,143,61,82,16,13,3,3,1,2,2,2,0,43,1,42,5,3,2,30,12,18,44,29,15
bihar,lakshadweep,82,15,67,4,4,0,0,0,0,0,0,0,58,0,58,1,0,1,7,4,3,12,7,5
bihar,kerala,2435,807,1628,859,420,439,13,11,2,249,24,225,501,9,492,22,14,8,405,143,262,386,186,200
bihar,tamil nadu,2638,747,1891,356,272,84,22,17,5,74,42,32,1328,15,1313,26,12,14,410,156,254,422,233,189
bihar,puducherry,276,131,145,53,51,2,2,2,0,11,3,8,71,0,71,1,0,1,78,30,48,60,45,15
bihar,andaman & nicobar islands,172,61,111,13,11,2,1,1,0,3,1,2,78,0,78,9,6,3,31,14,17,37,28,9
