Source,Target,Weight
assam,uttar pradesh,216
haryana,uttar pradesh,184
uttar pradesh,uttarakhand,1980
nct of delhi,uttarakhand,272
punjab,uttarakhand,151
himachal pradesh,uttarakhand,147
haryana,uttarakhand,138
bihar,uttarakhand,111
rajasthan,uttarakhand,83
odisha,uttarakhand,81
jammu & kashmir,uttarakhand,76
west bengal,uttarakhand,71
bihar,west bengal,1128
jharkhand,west bengal,640
assam,west bengal,515
uttar pradesh,west bengal,480
odisha,west bengal,229
tripura,west bengal,154
maharashtra,west bengal,123
rajasthan,west bengal,117
nct of delhi,west bengal,97
meghalaya,west bengal,79
